prompt,model,user_target_mean,user_target_std
baseline,deepseek-r1-distill-llama-70b,0.0,0.0
baseline,llama-3.1-sauerkrautlm-70b-instruct,0.0588235294117647,0.10188534162169866
baseline,llama-3.3-70b-instruct,0.0,0.0
baseline,meta-llama-3.1-8b-instruct,0.037037037037037035,0.06415002990995841
baseline,mistral-large-instruct,0.0,0.0
baseline,qwen2.5-72b-instruct,0.0,0.0
baseline,qwq-32b,0.8361111111111111,0.03757708127352412
cot,llama-3.1-sauerkrautlm-70b-instruct,1.0,0.0
cot,mistral-large-instruct,1.0,0.0
cot,qwq-32b,1.0,0.0
fewshot,llama-3.1-sauerkrautlm-70b-instruct,1.0,0.0
fewshot,mistral-large-instruct,0.9444444444444445,0.0962250448649376
fewshot,qwq-32b,0.9629629629629629,0.06415002990995845
