prompt,model,unknown_shacl_ratio,unknown_shacl_core_ratio
baseline,deepseek-r1-distill-llama-70b,0.10757494139847079,0.14046978348448935
baseline,llama-3.1-sauerkrautlm-70b-instruct,0.022075738350248158,0.02429796057247038
baseline,llama-3.3-70b-instruct,0.00787037037037037,0.0390993265993266
baseline,meta-llama-3.1-8b-instruct,0.13024007885118996,0.13718452329563438
baseline,mistral-large-instruct,0.0016666666666666668,0.0016666666666666668
baseline,qwen2.5-72b-instruct,0.0,0.021903953889248005
baseline,qwq-32b,0.012345679012345678,0.012345679012345678
cot,llama-3.1-sauerkrautlm-70b-instruct,0.0018518518518518517,0.0018518518518518517
cot,mistral-large-instruct,0.00331074600080448,0.00331074600080448
cot,qwq-32b,0.0028490028490028487,0.0028490028490028487
fewshot,llama-3.1-sauerkrautlm-70b-instruct,0.004430199430199431,0.004430199430199431
fewshot,mistral-large-instruct,0.0,0.0
fewshot,qwq-32b,0.015127465127465128,0.015127465127465128
