prompt,model,Total Graphs,Total with User Target,Proportion with User Target,Proportion with User Target (Micro)
baseline,deepseek-r1-distill-llama-70b,29,0,0.0,0.0
baseline,llama-3.1-sauerkrautlm-70b-instruct,47,3,0.05882352941176471,0.06382978723404255
baseline,llama-3.3-70b-instruct,36,0,0.0,0.0
baseline,meta-llama-3.1-8b-instruct,21,1,0.037037037037037035,0.047619047619047616
baseline,mistral-large-instruct,57,0,0.0,0.0
baseline,qwen2.5-72b-instruct,18,0,0.0,0.0
baseline,qwq-32b,24,20,0.8361111111111111,0.8333333333333334
cot,llama-3.1-sauerkrautlm-70b-instruct,48,48,1.0,1.0
cot,mistral-large-instruct,57,57,1.0,1.0
cot,qwq-32b,38,38,1.0,1.0
fewshot,llama-3.1-sauerkrautlm-70b-instruct,52,52,1.0,1.0
fewshot,mistral-large-instruct,56,53,0.9444444444444445,0.9464285714285714
fewshot,qwq-32b,31,30,0.9629629629629629,0.967741935483871
