ID-LB|Leikaschlüssel|Name|Name2|Updatedatum|ID-OD|Bezeichnung OD|Links
B100019.LB.100372563|99038003017001|Saison-Kurzarbeitergeld Bewilligung|Saison-Kurzarbeitergeld beantragen|20.01.2025 00:48|B100019.OD.103739565|eServices-Portal der Bundesagentur für Arbeit|https://www.arbeitsagentur.de/eservices
B100019.LB.100372563|99038003017001|Saison-Kurzarbeitergeld Bewilligung|Saison-Kurzarbeitergeld beantragen|20.01.2025 00:48|B100019.OD.103739568|KEA - Kurzarbeitergeld-Dokumente elektronisch annehmen|https://www.arbeitsagentur.de/unternehmen/finanziell/kea
B100019.LB.100372567|99038003017002|Transferkurzarbeitergeld Bewilligung|Transferkurzarbeitergeld beantragen|20.01.2025 00:48|B100019.OD.104219441|Transferkurzarbeitergeld: Upload-Service der Bundesagentur für Arbeit|https://www.arbeitsagentur.de/unternehmen/finanziell/transferkurzarbeitergeld-upload
B100019.LB.100374033|99148023080000|Förderdarlehen der KfW für Erneuerbare Energie - Tiefengeothermie (Premium) - Nr. 272/282 Gewährung|KfW-Darlehen in Verbindung mit Tilgungszuschuss des Bundes für Tiefengeothermie beantragen|20.01.2025 00:48|||
B100019.LB.100386554|99011008060001|Ausländerzentralregister Eintragung Übermittlungssperre|Übermittlungssperre Ihrer im Zentralregister für Ausländer gespeicherten Daten beantragen|20.01.2025 00:48|||
B100019.LB.100392511|99012045012000|Europäische Technische Bewertung Ausstellung|Europäische Technische Bewertung (ETA) beantragen|20.01.2025 00:48|||
B100019.LB.100521036|99085001012012|Reisepass Ausstellung im Ausland|Reisepass im Ausland beantragen|20.01.2025 00:48|||
B100019.LB.100673440|99102015010003|Kraftfahrzeugsteuer Befreiung für Elektrofahrzeuge|Befreiung von der Kraftfahrzeugsteuer für zugelassene Elektrofahrzeuge|20.01.2025 00:48|||
B100019.LB.100673442|99102015039001|Kraftfahrzeugsteuer Erstattung bei Beförderungen von Fahrzeugen mit der Eisenbahn|Erstattung der Kraftfahrzeugsteuer bei Beförderungen von Fahrzeugen mit der Eisenbahn beantragen|20.01.2025 00:48|||
B100019.LB.100697129|99137002048000|Technisches Hilfswerk Freistellung|Erstattung der ausgefallenen Arbeitsleistung bei Einsatz für das Technische Hilfswerk beantragen|20.01.2025 00:48|||
B100019.LB.100834015|99122005058000|Zollamtliche Überwachung Durchführung|Zollkontrolle - Einfuhrverbote|20.01.2025 00:48|||
B100019.LB.100834016|99122005058001|Zollamtliche Überwachung Durchführung bei Einreisen aus EU-Ländern|Waren aus EU-Ländern nach Deutschland einführen|20.01.2025 00:48|||
B100019.LB.100834018|99122005058002|Zollamtliche Überwachung Durchführung bei Einreisen aus Nicht-EU-Ländern|Waren (Reisemitbringsel) aus Nicht-EU-Ländern nach Deutschland einführen (Zollkontrolle)|20.01.2025 00:48|||
B100019.LB.101018308|99138010019000|Meldungen von Erneuerbare-Energien-Anlagen Registrierung|Erneuerbare-Energien-Anlagen bei der Bundesnetzagentur melden|20.01.2025 00:48|||
B100019.LB.101030004|99132019080000|Förderung der Energieberatung im Mittelstand (EBM) in kleinen und mittleren Unternehmen (KMU) Gewährung|Förderung einer Energieberatung im Mittelstand beantragen|20.01.2025 00:48|||
B100019.LB.101130375|99050111013002|Basiskonto Informationserteilung zu Möglichkeiten bei Ablehnung|Verwaltungsverfahren bei Ablehnung eines Basiskontos beantragen|20.01.2025 00:48|||
B100019.LB.101139720|99050114001000|Zulassung für Bewachungsgewerbe auf Seeschiffen Erteilung|Zulassung zur Seeschiffbewachung beantragen|20.01.2025 00:48|B100019.OD.103404532|Antrag auf Zulassung zur Bewachung von Seeschiffen gemäß § 31 GewO|https://fms.bafa.de/BafaFrame/bewachung
B100019.LB.101149384|99138011060000|Energieeffizienz-Expertenliste Eintragung|Eintragung als Experte in die Energieeffizienz-Expertenliste beantragen|20.01.2025 00:48|||
B100019.LB.101180131|99009018001000|Bauartzulassung für Geräte und anderen Vorrichtung in die sonstige radioaktive Stoffe eingefügt sind, sowie von Anlagen zur Erzeugung ionisierender Strahlen Erteilung|Zulassung der Bauart für Vorrichtungen mit radioaktiven Stoffen sowie Anlagen zur Erzeugung ionisierender Strahlung beantragen|20.01.2025 00:48|||
B100019.LB.101180150|99107053080000|zinsloses Darlehen nach § 3 Familienpflegezeitgesetz Gewährung|Zinsloses Darlehen für den Zeitraum, in dem die Arbeitszeit reduziert oder komplett ausgesetzt wird, um nahe Angehörige zu pflegen|20.01.2025 00:48|||
B100019.LB.101246101|99022006080000|Nachlass bei vorzeitiger Rückzahlung der Ausbildungsförderung Gewährung|Vorzeitige Rückzahlung des BAföG-Darlehens beantragen|20.01.2025 00:48|||
B100019.LB.101301682|99148026017000|Förderung von elektrisch betriebenen Fahrzeugen (Umweltbonus) Bewilligung|Umweltbonus für Elektrofahrzeuge beantragen|20.01.2025 00:48|B100019.OD.103404571|Antrag auf Förderung von elektrisch betriebenen Fahrzeugen (Umweltbonus)|https://fms.bafa.de/BafaFrame/fems
B100019.LB.101301684|99015019041000|Schlichtungsverfahren gemäß § 16 Behindertengleichstellungsgesetz Einleitung|Schlichtungsverfahren zur Behindertengleichstellung beantragen|20.01.2025 00:48|B100019.OD.103473201|Onlineverfahren auf der Internetseite des Bundesgleichstellungsbeauftragten|https://www.schlichtungsstelle-bgg.de/Webs/SchliBGG/DE/AS/startseite/startseite-node.html
B100019.LB.101338702|99148027080000|Investitionszuschuss der KfW für Maßnahmen zur Barrierereduzierung und zum Einbruchschutz in bestehenden Wohngebäuden aus Mitteln des Bundes||20.01.2025 00:48|B100019.OD.103462907|KfW-Zuschussportal|https://public.kfw.de/zuschussportal-web/
B100019.LB.101451406|99042005023001|Nationale Verstoßdatei gemäß Seefischereigesetz Auskunft Eintragung für Verstöße gem. §§ 13, 14 SeeFischG|Selbstauskunft aus der Nationalen Verstoßdatei im Seefischereigesetz beantragen|20.01.2025 00:48|B100019.OD.103417207|Onlineverfahren für die Selbstauskunft - Verstoßdatei Seefischerei|https://www.ble.de/verstossdatei
B100019.LB.101451407|99042005023002|Nationale Verstoßdatei gemäß Seefischereigesetz Auskunft Eintragung für schwere Verstöße gem. § 13 SeeFischG|Behörden-Auskunft aus der Nationalen Verstoßdatei im Seefischereigesetz beantragen|20.01.2025 00:48|B100019.OD.103417207|Onlineverfahren für die Selbstauskunft - Verstoßdatei Seefischerei|https://www.ble.de/verstossdatei
B100019.LB.101667696|99045003109002|Standortregister über gentechnisch veränderte Organismen Einsicht gewähren nicht-öffentlicher Teil|Auskunft aus dem Standortregister für gentechnisch veränderte Organismen (nicht-öffentlicher Teil) beantragen|20.01.2025 00:48|||
B100019.LB.101698039|99109016176001|Rufnummernmissbrauch Verfolgung unerlaubter Telefonwerbung|Unerlaubte Telefonwerbung melden|20.01.2025 00:48|B100019.OD.103462905|Anzeige über den Erhalt unerlaubter Telefonwerbung (online)|https://www.bundesnetzagentur.de/_tools/RumitelStart/Form07ColdCall/node.html
B100019.LB.101740601|99148028080000|Baukindergeld Gewährung|Baukindergeld beantragen|20.01.2025 00:48|||
B100019.LB.101793601|99120003261000|Elektronische Rechnung Entgegennahme|Rechnungen elektronisch über E-Rechnungseingangsplattformen übermitteln|20.01.2025 00:48|||
B100019.LB.101801008|99094008104000|Klageregister für Musterfeststellungsklagen Anmeldung|Anschluss an eine Musterfeststellungsklage als Verbraucherin oder Verbraucher|20.01.2025 00:48|||
B100019.LB.101816572|99006032019000|Hochradioaktive Strahlenquellen Registrierung|Hochradioaktive Strahlenquellen an das HRQ-Register melden|20.01.2025 00:48|||
B100019.LB.101920400|99006026104000|Mindestlohn Anmeldung|Arbeitnehmer von Arbeitgebern mit Sitz im Ausland oder Verleihern im Meldeportal Mindestlohn anmelden|20.01.2025 00:48|B100019.OD.103404552|Meldeportal-Mindestlohn der Generalzolldirektion|https://www.meldeportal-mindestlohn.de
B100019.LB.101920402|99102058002000|Luftverkehrsteuer Registrierung|Für die Luftverkehrsteuer registrieren lassen|20.01.2025 00:48|B100019.OD.106545154|Luftverkehrsteuer online registrieren|https://www.ozg-zoll.zoll-portal.de/ozg-zoll-aviata
B100019.LB.101926456|99151001019001|Marktstammdatenregister Strom und Gas Registrierung von Marktakteuren|Marktakteure im Register anmelden|20.01.2025 00:48|||
B100019.LB.101926457|99151001019002|Marktstammdatenregister Strom und Gas Registrierung von Einheiten und von EEG- und KWK-Anlagen|Strom- und Gaseinheiten im Register anmelden|20.01.2025 00:48|B100019.OD.103448712|Internetportal des Marktstammdatenregisters|https://www.marktstammdatenregister.de
B100019.LB.101943300|99006033261000|Lagebericht nach dem Entgelttransparenzgesetz Entgegennahme|Bericht zur Gleichstellung und zur Entgeltgleichheit erstellen und veröffentlichen|20.01.2025 00:48|||
B100019.LB.101964703|99102060019000|BZStOnline-Portal Registrierung|Für das BZStOnline-Portal registrieren|20.01.2025 00:48|||
B100019.LB.101968801|99111026014000|Arbeits- und Wegeunfall Meldung|Arbeits-, Wege- oder Schulunfall bei der gesetzlichen Unfallversicherung melden|20.01.2025 00:48|B100019.OD.103404580|Arbeits- oder Wegeunfall online melden|https://serviceportal-uv.dguv.de/mapping/leistung?leistung=OZG-100
B100019.LB.101968801|99111026014000|Arbeits- und Wegeunfall Meldung|Arbeits-, Wege- oder Schulunfall bei der gesetzlichen Unfallversicherung melden|20.01.2025 00:48|B100019.OD.106029018|Schul- oder Schulwegunfall online melden|https://serviceportal-uv.dguv.de/mapping/leistung?leistung=OZG-105
B100019.LB.101968803|99102061005001|Steuerlicher Beauftragter Erlaubnis nach § 8 Luftverkehrsteuergesetz|Erlaubnis zur Ausübung der Tätigkeit als steuerlicher Beauftragter für Luftverkehrsunternehmen beantragen|20.01.2025 00:48|||
B100019.LB.101984922|99099008006001|Deutsche Staatsangehörigkeit Genehmigung des Verzichts auf die deutsche Staatsangehörigkeit|Verzicht auf die deutsche Staatsangehörigkeit erklären - für Personen im Ausland|20.01.2025 00:48|B100019.OD.103520142|Online-Antrag zum Verzicht auf die deutsche Staatsangehörigkeit|https://verwaltung.bund.de/leistungsbeantragung/101984922
B100019.LB.101984934|99148030080000|Förderprogramm ""Energieeffizient Sanieren - Investitionszuschuss"" Nr. 430 Gewährung|Investitionszuschuss für die energetische Sanierung von Wohngebäuden beantragen|20.01.2025 00:48|||
B100019.LB.102009010|99042007060000|Verzeichnis der Handelsbezeichnungen für Erzeugnisse der Fischerei und Aquakultur Eintragung|Handelsbezeichnung im Verzeichnis für Fischerei und Aquakultur neu beantragen oder ändern|20.01.2025 00:48|||
B100019.LB.102127186|99148033080000|Gemeinsam unterwegs: Identität, Anerkennung, Begegnung - Integrationsförderangebot für Spätaussiedlerinnen und Spätaussiedler Gewährung|Förderung von ergänzenden Integrationsmaßnahmen für Spätaussiedlerinnen und Spätaussiedler beantragen|20.01.2025 00:48|||
B100019.LB.102215411|99050125006000|Neuanpflanzung von Weinreben Genehmigung|Neue Rebflächen für Wein beantragen|20.01.2025 00:48|||
B100019.LB.102241513|99096003222000|Vorgesehen zum Löschen - Flaggenzertifikat Rücknahme|Flaggenzertifikat für Sportboot zurückgeben|20.01.2025 00:48|||
B100019.LB.102241557|99096023001000|Fahrerlaubnis auf Bundeswasserstraßen Erteilung|Fahrerlaubnis auf Bundeswasserstraßen (Patent oder Befähigungszeugnis) beantragen|20.01.2025 00:48|||
B100019.LB.102241573|99070008261000|Eingaben und Beschwerden Entgegennahme|Hinweise auf Kartellrechtsverstöße übermitteln|20.01.2025 00:48|||
B100019.LB.102241575|99070009261000|Anonyme Hinweise Entgegennahme|Hinweise zu kartellrechtlichen Verstößen dem Bundeskartellamt anonym melden|20.01.2025 00:48|B100019.OD.103404539|Anonymes Hinweisgebersystem des Bundeskartellamtes (deutsch und englisch)|https://www.bkms-system.net/bkwebanon/report/clientInfo?cin=2bkarta151&c=-1&language=ger
B100019.LB.102241578|99070011006000|Antrag auf Zulassung als VID bei der MTS für Kraftstoffe Genehmigung|Zulassung als Anbieter von Verbraucher-Informationsdiensten bei der Markttransparenzstelle für Kraftstoffe beantragen|20.01.2025 00:48|B100019.OD.107747651|Zulassung als Anbieter von Verbraucher-Informationsdiensten (VID) bei der Marktransparenzstelle für Kraftstoffe online beantragen|https://verwaltung.bund.de/leistungsbeantragung/DE/102241578
B100019.LB.102241587|99008001012011|Personalausweis Ausstellung für Deutsche mit Wohnsitz außerhalb Deutschlands|Personalausweis für deutsche Staatsangehörige mit ständigem Wohnsitz im Ausland beantragen|20.01.2025 00:48|||
B100019.LB.102267619|99080002060001|Luftsportgeräteverzeichnis Eintragung von zulassungsbefreiten Ultraleichtflugsportgeräten|Registrierung im Luftsportgeräteverzeichnis für zulassungsfreie Ultraleichtsportgeräte beantragen|20.01.2025 00:48|||
B100019.LB.102267657|99093025058000|Prüfung einer Beizstelle zur Eintragung in die Liste der ""Saatgutbehandlungseinrichtungen mit Qualitätssicherungssystemen zur Staubminderung"" Durchführung|Liste der ""Saatgutbehandlungseinrichtungen mit Qualitätssicherungssystemen zur Staubminderung"": Aufnahme einer Beizstelle beantragen|20.01.2025 00:48|||
B100019.LB.102267659|99093026058000|Prüfung eines Sägerätes zur Eintragung in die Liste der abdriftmindernden Maissägeräte und/oder die Liste der abdriftmindernden Sägeräte Durchführung|Listen der abdriftmindernden Sägeräte: Geräte-Prüfung und Eintragung beantragen|20.01.2025 00:48|||
B100019.LB.102351316|99024003001000|Eigenauskunft aus dem Zentralen Fahrerlaubnisregister Erteilung|Auskunft aus dem Zentralen Fahrerlaubnisregister beantragen|20.01.2025 00:48|B100019.OD.103408397|Online-Registerauskunft des KBA|https://www.kba-online.de/registerauskunft/ora/web/#/zfer
B100019.LB.102351320|99029006001000|Eigenauskunft aus dem Zentralen Fahrzeugregister Erteilung|Auskunft zu eigenen Fahrzeugen erhalten|20.01.2025 00:48|B100019.OD.103417206|Online-Registerauskunft des KBA|https://www.kba-online.de/registerauskunft/ora/web/#/zfzr
B100019.LB.102363700|99096036012002|Bescheinigung der amtlichen Vermessung (Messbrief) Ausstellung für Sportfahrzeuge|Schiffsmessbrief beantragen|20.01.2025 00:48|B100019.OD.103404586|Online-Antrag auf Schiffsvermessung und Ausstellung eines Schiffsmessbriefs für Sportfahrzeuge bis zu einer Länge von 24 Metern|https://www.bsh.de/DE/THEMEN/Schifffahrt/Sportschifffahrt/Sportbootvermessung/sportbootvermessung_node.html
B100019.LB.102363785|99009025261000|Mitteilung bei der Anwendung radioaktiver Stoffe oder ionisierender Strahlung zum Zweck der medizinischen Forschung Entgegennahme|Beendigung, Abbruch oder Unterbrechung einer medizinischen Studie mit Strahlenanwendung sowie weitere mitteilungspflichtige Änderungen melden|20.01.2025 00:48|||
B100019.LB.102381600|99009028023000|Strahlenschutzregister Auskunft|Auskunft aus dem Strahlenschutzregister über personenbezogene Daten zur beruflichen Strahlenexposition beantragen|20.01.2025 00:48|||
B100019.LB.102381602|99009032107000|Persönliche Kennnummer für Zwecke des Strahlenschutzregisters Vergabe|Persönliche Kennnummer (SSR-Nummer) für Eintragungen in das Strahlenschutzregister (SSR) beantragen|20.01.2025 00:48|B100019.OD.103739536|Beantragung von SSR-Nummern online|https://ssr.bfs.de/ssrportal
B100019.LB.102381604|99009033261000|Anzeige des Betriebs von Raumfahrzeugen Entgegennahme|Betrieb von Raumfahrzeugen anzeigen|20.01.2025 00:48|||
B100019.LB.102463498|99118018058000|Verbraucheranfragen und Kundenschutzregelungen im Bereich der Telekommunikation Durchführung|Beschwerden und Anfragen im Bereich Telekommunikation einreichen|20.01.2025 00:48|||
B100019.LB.102541817|99148036017000|Vorgesehen zum Löschen - Antrag Projektförderung im Rahmen des Bundesvertriebenengesetzes Bewilligung|Förderung für wissenschaftliche Projekte zur Erhaltung, Erforschung und Vermittlung deutscher Kultur und Geschichte im östlichen Europa beantragen|20.01.2025 00:48|||
B100019.LB.102541818|99148036017001|Antrag Projektförderung im Rahmen des Bundesvertriebenengesetzes authorization für Projekte zur Erforschung und Vermittlung von Kultur und Geschichte der Regionen des östlichen Europas|Förderung für Projekte zur kulturellen Vermittlung und des Erhalts von Kulturgut beantragen|20.01.2025 00:48|||
B100019.LB.102541828|99148041017000|Projektförderung auf der Grundlage des deutsch-polnischen Vertrages vom 17. Juni 1991 Bewilligung|Förderung für deutsch-polnische Kunst- und Kulturprojekte beantragen|20.01.2025 00:48|||
B100019.LB.102541834|99148044017000|Förderantrag Modellprojekte zur Erhaltung des schriftlichen Kulturguts Bewilligung|Förderung für Modellprojekte zur Erhaltung des schriftlichen Kulturguts beantragen|20.01.2025 00:48|||
B100019.LB.102541844|99148049017000|Förderanträge im Rahmen des Denkmalpflegeprogramms ""National wertvolle Kulturdenkmäler"" Bewilligung|Förderung aus dem Denkmalpflegeprogramm ""National wertvolle Kulturdenkmäler"" beantragen|20.01.2025 00:48|||
B100019.LB.102541851|99148053017000|Förderantrag Filmproduktion für programmfüllende Spielfilme und Dokumentarfilme Bewilligung|Fördermittel für die Produktion eines Spielfilms oder Dokumentarfilms beantragen|20.01.2025 00:48|||
B100019.LB.102541855|99148055017000|Förderantrag Filmproduktion Kinderfilme und Kinderkurzfilme Bewilligung|Fördermittel für die Herstellung von programmfüllenden Kinderfilmen und Kinderkurzfilmen beantragen|20.01.2025 00:48|||
B100019.LB.102541857|99148056017000|Förderantrag Drehbuchentwicklung für programmfüllende Spielfilme Bewilligung|Fördermittel für die Entwicklung eines Drehbuchs eines programmfüllenden Spielfilms erhalten|20.01.2025 00:48|||
B100019.LB.102541859|99148057017000|Förderantrag Stoffentwicklung für programmfüllende Dokumentarfilme Bewilligung|Förderung Stoffentwicklung für programmfüllende Dokumentarfilme beantragen|20.01.2025 00:48|||
B100019.LB.102541861|99148058017000|Förderantrag Drehbuch- und Treatmententwicklung für programmfüllende Kinderfilme Bewilligung|Filmförderung des Bundes für das Drehbuch oder Treatment eines Kinderfilms beantragen|20.01.2025 00:48|||
B100019.LB.102541864|99148059017001|Verleihförderung Bewilligung für programmfüllende, künstlerisch anspruchsvolle Filme|Filmförderung des Bundes für den Verleih von Kinofilmen beantragen|20.01.2025 00:48|B100019.OD.107747667|Kulturelle Verleihförderung des Bundes online beantragen|https://verwaltung.bund.de/leistungsbeantragung/DE/102541864
B100019.LB.102541866|99148060017000|Förderantrag Projektentwicklung für programmfüllende Kinderfilme Bewilligung|Fördermittel zur Produktionsvorbereitung von programmfüllenden Kinderfilmvorhaben beantragen|20.01.2025 00:48|||
B100019.LB.102541868|99148061017000|Förderung der Digitalisierung des nationalen Filmerbes Bewilligung|Förderung für Digitalisierung von Filmen mit besonderem Wert beantragen|20.01.2025 00:48|||
B100019.LB.102541870|99148062017000|Förderantrag im Rahmen des Zukunftprogramms Kino Bewilligung|Förderung im Rahmen des Zukunftsprogramms Kino beantragen|20.01.2025 00:48|||
B100019.LB.102541882|99153001268000|Aufstellung eines Raumordnungsplans Beteiligung|Öffentlichkeitsbeteiligung zum Bundesraumordnungsplan Hochwasserschutz: Stellungnahmen abgeben|20.01.2025 00:48|||
