mode,model,valid_turtle_all,valid_shacl_all,graph_edit_distance_all,ged_timeout_all,gbert_precision_all,gbert_recall_all,gbert_f1_all,triple_accuracy_all,triple_precision_all,triple_recall_all,triple_f1_all,validation_accuracy_all,validation_precision_all,validation_recall_all,validation_f1_all,graph_edit_distance_valid_only,gbert_precision_valid_only,gbert_recall_valid_only,gbert_f1_valid_only,triple_accuracy_valid_only,triple_precision_valid_only,triple_recall_valid_only,triple_f1_valid_only,validation_accuracy_valid_only,validation_precision_valid_only,validation_recall_valid_only,validation_f1_valid_only,runtime (sec),completion_tokens,prompt_tokens
baseline_0ex0fcv,deepseek-r1-distill-llama-70b,0.4603,0.1429,0.7965,0.9744,0.4473,0.2432,0.3081,0.1426,0.1365,0.0732,0.0941,0.0018,0.0018,0.0953,0.0035,0.6081,0.943,0.6143,0.6986,0.3988,0.3629,0.18,0.2378,0.0093,0.0093,0.5,0.0181,90.5514,791.7778,8012.0476
baseline_0ex0fcv,llama-3.1-sauerkrautlm-70b-instruct,0.746,0.5079,0.6738,1.0,0.6379,0.5652,0.5648,0.2285,0.193,0.1499,0.1639,0.0712,0.0071,0.4127,0.0139,0.5551,0.848,0.7477,0.7448,0.2978,0.258,0.2026,0.2203,0.1469,0.0139,0.8073,0.0272,28.068,526.8412,8043.2857
baseline_0ex0fcv,llama-3.3-70b-instruct,0.5714,0.3334,0.7607,1.0,0.5161,0.3396,0.3719,0.1856,0.1647,0.0953,0.1151,0.0053,0.0053,0.3016,0.0103,0.6039,0.9017,0.5493,0.6109,0.3689,0.3425,0.1904,0.2321,0.0156,0.0156,0.8472,0.0305,30.0319,359.0158,8105.2857
baseline_0ex0fcv,meta-llama-3.1-8b-instruct,0.3333,0.1452,0.874,1.0,0.2334,0.2596,0.2147,0.0581,0.0448,0.0324,0.0349,0.0099,0.003,0.1217,0.0058,0.5771,0.8736,0.6878,0.7179,0.1633,0.1467,0.0783,0.0992,0.0682,0.0203,0.8519,0.0391,12.846,829.0476,8018.2857
baseline_0ex0fcv,mistral-large-instruct,0.9048,0.6349,0.5766,1.0,0.8078,0.6036,0.649,0.2939,0.2984,0.2154,0.243,0.0113,0.0103,0.6031,0.0203,0.5249,0.8757,0.6678,0.7028,0.3268,0.3373,0.2443,0.273,0.0177,0.0164,0.9556,0.0321,100.3344,533.0,9905.9524
baseline_0ex0fcv,qwen2.5-72b-instruct,0.4286,0.3572,0.7944,1.0,0.3704,0.3514,0.3475,0.1568,0.1398,0.1118,0.1213,0.009,0.0062,0.3572,0.012,0.5199,0.8942,0.7983,0.8178,0.3739,0.3351,0.2598,0.2855,0.0225,0.0176,1.0,0.0344,29.0226,595.2858,8115.6667
baseline_0ex0fcv,qwq-32b,0.381,0.2381,0.7985,0.9333,0.3417,0.2777,0.29,0.1643,0.1514,0.1055,0.1202,0.2197,0.02,0.0444,0.0239,0.481,0.8735,0.6586,0.6903,0.3972,0.3821,0.2373,0.2807,0.9415,0.0803,0.1619,0.0954,177.6911,4927.492,8094.6667
cot_1ex3fcv,llama-3.1-sauerkrautlm-70b-instruct,0.7738,0.6272,0.5976,0.9151,0.7105,0.6428,0.6489,0.4825,0.4536,0.4308,0.4352,0.5876,0.2274,0.2303,0.2282,0.4573,0.9288,0.8536,0.8588,0.6669,0.6412,0.6173,0.6206,0.9846,0.3816,0.3868,0.3831,72.3763,978.5,9314.8555
cot_1ex3fcv,mistral-large-instruct,0.9048,0.7881,0.528,0.8945,0.8884,0.648,0.7213,0.6134,0.6049,0.4874,0.5293,0.7514,0.3459,0.3521,0.3327,0.4788,0.9905,0.7095,0.7948,0.7141,0.7059,0.5685,0.617,0.9861,0.4572,0.4669,0.4398,163.835,768.254,11471.2381
cot_1ex3fcv,qwq-32b,0.6031,0.5238,0.6677,0.8953,0.5902,0.4857,0.5218,0.4497,0.438,0.3768,0.3999,0.5189,0.2582,0.29,0.267,0.4481,0.979,0.7977,0.8588,0.7685,0.7587,0.651,0.6911,0.9905,0.4972,0.5608,0.515,125.1541,4234.9841,9381.7619
fewshot_1ex3fcv,llama-3.1-sauerkrautlm-70b-instruct,0.8254,0.6349,0.6122,1.0,0.7205,0.6907,0.6693,0.5075,0.4626,0.4565,0.4493,0.5982,0.08,0.1079,0.0805,0.5206,0.8949,0.8531,0.8386,0.6775,0.614,0.602,0.5976,0.936,0.1369,0.1878,0.1379,40.4944,703.3175,8761.9048
fewshot_1ex3fcv,mistral-large-instruct,0.8889,0.7714,0.5526,0.9815,0.8217,0.6705,0.7058,0.548,0.5344,0.4779,0.4939,0.7066,0.2074,0.2245,0.1964,0.4867,0.9152,0.7808,0.8043,0.6361,0.6308,0.5794,0.5915,0.9455,0.2772,0.3034,0.2638,130.0498,711.2222,10711.6667
fewshot_1ex3fcv,qwq-32b,0.4921,0.2495,0.7524,1.0,0.4627,0.4094,0.4231,0.3662,0.337,0.307,0.3161,0.2357,0.1178,0.127,0.1206,0.4964,0.9757,0.8778,0.9082,0.8688,0.8299,0.7582,0.7864,0.9894,0.513,0.5611,0.5273,136.9415,3815.7143,8750.0635
