experiment,model,valid_turtle_all,valid_shacl_all,graph_edit_distance_all,ged_timeout_all,gbert_precision_all,gbert_recall_all,gbert_f1_all,triple_accuracy_all,triple_precision_all,triple_recall_all,triple_f1_all,validation_accuracy_all,validation_precision_all,validation_recall_all,validation_f1_all,graph_edit_distance_valid_only,gbert_precision_valid_only,gbert_recall_valid_only,gbert_f1_valid_only,triple_accuracy_valid_only,triple_precision_valid_only,triple_recall_valid_only,triple_f1_valid_only,validation_accuracy_valid_only,validation_precision_valid_only,validation_recall_valid_only,validation_f1_valid_only,runtime (sec),completion_tokens,prompt_tokens
baseline_0ex0fcv_1745664019,deepseek-r1-distill-llama-70b,0.381,0.1905,0.8524,1.0,0.3719,0.1946,0.2519,0.141,0.124,0.0616,0.0814,0.002,0.002,0.1429,0.0039,0.6067,0.9757,0.5357,0.6837,0.4304,0.3992,0.18,0.2469,0.0103,0.0103,0.75,0.0203,94.3284,813.5238,8005.5714
baseline_0ex0fcv_1745664019,qwq-32b,0.4762,0.3333,0.7384,0.8,0.4248,0.3704,0.3766,0.224,0.2143,0.1575,0.1761,0.2822,0.0327,0.0952,0.0399,0.438,0.8563,0.7333,0.733,0.4445,0.4305,0.3224,0.3534,0.8467,0.098,0.2857,0.1196,176.656,5179.3333,8094.6667
baseline_0ex0fcv_1745664019,llama-3.1-sauerkrautlm-70b-instruct,0.7143,0.5238,0.6864,1.0,0.6109,0.4996,0.5152,0.2066,0.185,0.1365,0.1518,0.0584,0.0062,0.381,0.0122,0.5394,0.8451,0.71,0.7244,0.2749,0.2407,0.1901,0.2059,0.1114,0.0119,0.7273,0.0232,21.6435,500.0952,8035.2857
baseline_0ex0fcv_1745664019,llama-3.3-70b-instruct,0.5714,0.1429,0.7689,1.0,0.506,0.355,0.3742,0.1933,0.1577,0.0941,0.11,0.0021,0.0021,0.0952,0.0041,0.6278,0.8997,0.5383,0.5937,0.4353,0.3718,0.216,0.2512,0.0148,0.0148,0.6667,0.0288,30.1387,365.3333,8097.2857
baseline_0ex0fcv_1745664019,mistral-large-instruct,0.8571,0.619,0.6049,1.0,0.7616,0.5923,0.6288,0.2845,0.299,0.2072,0.24,0.0112,0.0112,0.619,0.0219,0.538,0.8912,0.6739,0.7201,0.3571,0.3758,0.261,0.3011,0.0181,0.0181,1.0,0.0353,99.8551,561.381,9899.4762
baseline_0ex0fcv_1745664019,meta-llama-3.1-8b-instruct,0.2857,0.0952,0.8825,1.0,0.1558,0.2639,0.1738,0.0438,0.0272,0.0285,0.0269,0.0012,0.0012,0.0952,0.0024,0.4007,0.7283,0.9383,0.8199,0.0408,0.0747,0.0667,0.0703,0.0127,0.0127,1.0,0.025,19.0269,938.619,8010.2857
baseline_0ex0fcv_1745697193,qwen2.5-72b-instruct,0.1905,0.1429,0.9086,1.0,0.1785,0.1454,0.1574,0.0708,0.0708,0.0543,0.0605,0.0026,0.0026,0.1429,0.005,0.5293,0.924,0.7831,0.8289,0.3787,0.3527,0.2712,0.3002,0.018,0.018,1.0,0.0353,30.9494,594.4286,8115.6667
baseline_0ex0fcv_1745697193,deepseek-r1-distill-llama-70b,0.619,0.1905,0.7116,0.9231,0.6026,0.3151,0.4044,0.1688,0.1752,0.0942,0.1207,0.0033,0.0033,0.1429,0.0065,0.6449,0.9828,0.3413,0.4965,0.2721,0.2981,0.1231,0.1714,0.0175,0.0175,0.75,0.034,91.892,819.0952,8015.2857
baseline_0ex0fcv_1745697193,qwq-32b,0.2857,0.1905,0.8472,1.0,0.2614,0.1944,0.2123,0.1343,0.11,0.0625,0.0782,0.1884,0.0272,0.0381,0.0317,0.4871,0.8978,0.6138,0.6816,0.499,0.4208,0.2179,0.2808,0.9889,0.1429,0.2,0.1667,179.2467,4742.0952,8094.6667
baseline_0ex0fcv_1745697193,llama-3.1-sauerkrautlm-70b-instruct,0.7143,0.5714,0.6778,1.0,0.6475,0.5276,0.5629,0.2104,0.1846,0.132,0.1511,0.0558,0.0092,0.5238,0.018,0.5473,0.9068,0.7366,0.7877,0.2908,0.2653,0.1912,0.2182,0.0976,0.0161,0.9167,0.0316,24.8872,547.0952,8047.2857
baseline_0ex0fcv_1745697193,llama-3.3-70b-instruct,0.4762,0.381,0.8013,1.0,0.4597,0.2632,0.3191,0.17,0.1701,0.0925,0.1182,0.006,0.006,0.3333,0.0118,0.594,0.9647,0.5193,0.644,0.3804,0.4017,0.2128,0.2743,0.0159,0.0159,0.875,0.0311,28.8906,348.619,8109.2857
baseline_0ex0fcv_1745697193,mistral-large-instruct,0.9524,0.7143,0.5651,1.0,0.8323,0.6404,0.675,0.3056,0.2918,0.2235,0.2433,0.013,0.0101,0.619,0.0199,0.5392,0.8451,0.6876,0.699,0.2974,0.2961,0.2405,0.2531,0.0182,0.0142,0.8667,0.0278,103.5914,527.0476,9909.1905
baseline_0ex0fcv_1745697193,meta-llama-3.1-8b-instruct,0.4286,0.15,0.8415,1.0,0.3119,0.3107,0.2742,0.078,0.0512,0.0426,0.0426,0.0245,0.0039,0.0794,0.0074,0.7212,0.9581,0.3847,0.5276,0.2379,0.1424,0.0577,0.081,0.1714,0.0275,0.5556,0.0521,11.6638,719.9048,8022.2857
baseline_0ex0fcv_1745709217,qwen2.5-72b-instruct,0.6667,0.5714,0.6802,1.0,0.5623,0.5573,0.5377,0.2427,0.2088,0.1693,0.1821,0.0154,0.0098,0.5714,0.0191,0.5105,0.8644,0.8135,0.8066,0.3691,0.3175,0.2483,0.2708,0.027,0.0171,1.0,0.0334,27.0959,596.1429,8115.6667
baseline_0ex0fcv_1745709217,deepseek-r1-distill-llama-70b,0.381,0.0476,0.8254,1.0,0.3673,0.22,0.268,0.118,0.1102,0.0637,0.0803,0.0,0.0,0.0,0.0,0.5726,0.8704,0.9658,0.9156,0.4938,0.3913,0.2368,0.2951,0.0,0.0,0.0,0.0,85.4338,742.7143,8015.2857
baseline_0ex0fcv_1745709217,qwq-32b,0.381,0.1905,0.81,1.0,0.3388,0.2683,0.2812,0.1345,0.13,0.0965,0.1064,0.1884,0.0,0.0,0.0,0.518,0.8663,0.6286,0.6563,0.2482,0.2949,0.1716,0.2079,0.9889,0.0,0.0,0.0,177.1706,4861.0476,8094.6667
baseline_0ex0fcv_1745709217,llama-3.1-sauerkrautlm-70b-instruct,0.8095,0.4286,0.6571,1.0,0.6552,0.6683,0.6163,0.2684,0.2093,0.1813,0.1888,0.0993,0.0059,0.3333,0.0115,0.5786,0.7922,0.7966,0.7222,0.3276,0.2679,0.2265,0.2367,0.2318,0.0138,0.7778,0.0269,37.6733,533.3333,8047.2857
baseline_0ex0fcv_1745709217,llama-3.3-70b-instruct,0.6667,0.4762,0.7119,1.0,0.5827,0.4006,0.4223,0.1934,0.1664,0.0993,0.1172,0.0077,0.0077,0.4762,0.0151,0.5898,0.8406,0.5902,0.5951,0.2911,0.2539,0.1425,0.1709,0.0162,0.0162,1.0,0.0317,31.0664,363.0952,8109.2857
