Name,ID-LB,ARS,Eligibility Requirements
Kinderzuschlag beantragen,L100022.LB.780,['080000000000'],"Um einen Kinderzuschlag zu bekommen, müssen folgende Voraussetzungen erfüllt sein:

Ihr Kind/Ihre Kinder ist/sind jünger als 25 Jahre, nicht verheiratet oder verpartnert und lebt/leben in Ihrem Haushalt.
Sie beziehen für Ihr Kind/Ihre Kinder Kindergeld oder eine vergleichbare Leistung zum Beispiel aus dem Ausland.
Sie verfügen 
  
als Paar gemeinsam über ein Bruttoeinkommen von mindestens EUR 900,00 im Monat (ohne Wohngeld, Kindergeld und Kinderzuschlag) oder
als alleinerziehende Person über mindestens EUR 600,00 im Monat.

Ihr Einkommen, das auf den Kinderzuschlag angerechnet wird, ist nicht so hoch, dass sich der Kinderzuschlag auf null reduziert.
Sie verfügen über kein erhebliches Vermögen.
Den Kinderzuschlag können Sie in der Regel erhalten, wenn Sie mit Ihrem Einkommen, dem Kindergeld, dem eventuell zustehendem Wohngeld und dem Kinderzuschlag den Bedarf der ganzen Familie im Sinne des SGB II decken können.
Kinderzuschlag ist nachrangig gegenüber anderen möglichen Einkünften des Kindes; gegebenenfalls besteht die Verpflichtung, sich um vorrangige Ansprüche wie Unterhalt oder Unterhaltsvorschuss zu bemühen."
Pass für Geringverdiener Erteilung,L100002.LB.6bad2c2697d578f205e82adc45c3bfb2,['050000000000'],"Der Bielefeld-Pass kann nur für in Bielefeld gemeldete Personen ausgestellt werden. Er gilt zusammen mit einem Personalausweis. Der Bielefeld-Pass wird auf Antrag von der Stelle ausgestellt, die die Sozialleistung zahlt (Ausnahme bei Wohngeldbezug: Empfänger von Wohngeld erhalten den Bielefeld-Pass bei den Sachbearbeiterinnen bzw. Sachbearbeitern der Grundsicherung).    Einen Bielefeld-Pass erhalten: Empfängerinnen und Empfänger von Grundsicherung im Alter und bei dauerhafter Erwerbsunfähigkeit nach dem SGB XII Empfängerinnen und Empfänger von Hilfe zum Lebensunterhalt nach SGB XII außerhalb von Einrichtungen  Empfängerinnen und Empfänger von Leistungen nach dem Asylbewerberleistungsgesetz  Empfängerinnen und Empfänger von Bürgergeld nach dem SGB II (Jobcenter Arbeitplus) Sozialhilfeberechtigte Bewohnerinnen und Bewohner Bielefelder Alten- und Pflegeheime Empfängerinnen und Empfänger von Wohngeld nach dem WoGGEinen Bielefeld-Pass erhalten nicht: Empfänger von Wirtschaftlicher Jugendhilfe. Diese Leistung ist höher angelegt, um den speziellen Bedürfnissen von Jugendlichen gerecht zu werden. Für die Teilnahme am gesellschaftlichen (Kultur-)Leben bleibt mehr finanzieller Spielraum als im übrigen Sozialhilfebereich. Personen, die ausschließlich Arbeitslosengeld I erhalten (Agentur für Arbeit) Personen, die BAföG erhalten Personen, die keine Leistungen erhalten"
Unterkunft - Kostenübernahmeerklärung für statusgewandelte Selbstzahler/innen,L100108.LB.L100108_350276,['110000000000'],"Leistungsberechtigte Personen nach dem SGB II und SGB XII (Statusgewandelte), welche aufgrund ihres Einkommen keinen Leistungsanspruch mehr haben und in den vertragsgebundenen Einrichtungen des LAF untergebracht sind.Als statusgewandelte Person haben Sie einen Bescheid vom zuständigen Leistungsträger (Jobcenter oder Bezirksamt) erhalten, in dem Ihnen die Leistungen zur Sicherung des Lebensunterhaltes aufgrund von Einkommen versagt werden.Terminvereinbarung"
Entschädigung nach dem Infektionsschutzgesetz wegen Kinderbetreuung beantragen,L100040.LB.492915261,['030000000000'],"Eltern haben Anspruch auf Entschädigung ihres Verdienstausfalls wegen Kinderbetreuung, wenn:

Sie Ihr Kind/ Ihre Kinder aufgrund der Schließung einer Betreuungseinrichtung oder Schule durch Behörden selbst betreuen 
und Ihr Kind jünger als 12 Jahre alt ist oder eine Behinderung hat und auf Hilfe angewiesen ist,
und Sie einen Verdienstausfall haben,
und Sie für dieses Kind sorgeberechtigt sind,
und Sie keine anderweitige zumutbare Betreuungsmöglichkeit haben;
der Bundestag die Epidemische Lage von nationaler Tragweite beschlossen hat
Es stehen keine zusätzlichen Kinderkrankentage nach dem SGB V zur Verfügung."
Grundsicherung im Alter und bei Erwerbsminderung,L100108.LB.L100108_324394,['110000000000'],"Rentenalter oder dauerhafte ErwerbsminderungEs wird eine der nachfolgenden Voraussetzungen erfüllt:
Erreichen des Rentenalters (Das Rentenalter beginnt zwischen 65 und 67 Jahren, je nach Geburtsjahrgang) oderunbefristete volle Erwerbsminderung (Feststellung durch Rententräger) und Volljährigkeit (mindestens 18 Jahre alt)Niedriges Einkommen, niedriges VermögenEinkommen und Vermögen reichen nicht aus, um den Lebensunterhalt zu bestreiten.Wohnsitz in Berlineinwohneramtliche Meldung oderbei Wohnungslosigkeit gewöhnlicher Aufenthalt in Berlin"
"Bildungspaket - Informationen für Leistungsanbieter für die Bereiche Kultur, Musik und Sport, Abrechnung",S100002.LB.S1000020010000011736,['020000000000'],"Über das Hamburger Bildungspaket können Kinder und Jugendliche bis zum 18. Geburtstag, die Leistungen nach dem Sozialgesetzbuch (SGB) II, SGB XII oder dem Asylbewerberleistungsgesetz erhalten bzw. Wohngeld- oder kinderzuschlagsberechtigt sind, Leistungen für Bildung und Teilhabe erhalten.
Der Nachweis der Leistungsberechtigung (Bewilligungs- oder Kurzbescheid) ist vorzuzeigen (siehe Link 'Muster von Leistungsbescheinigungen')."
Pass für Geringverdiener,L100002.LB.6794e162cfd867d291907363a9dbd427,['050000000000'],nicht angegeben
Bildungs- und Teilhabepaket / Bremerhaven,S100003.LB.S1000030000578345,['040120000000'],"Bezug von Leistungen nach:

Sozialgesetzbuch Zweites Buch (Arbeitslosengeld II)
Sozialgesetzbuch Zwölftes Buch (Sozialhilfe/Grundsicherung im Alter und bei Erwerbsminderung)
Asylbewerberleistungsgesetz
Wohngeldgesetz (Mietzuschuss/Lastenzuschuss)
Bundeskindergeldgesetz (Kinderzuschlag)"
Eingliederung von Selbständigen; Beantragung von Leistungen,L100042.LB.27493,['090000000000'],"Um die Leistungen bekommen zu können, müssen folgende Voraussetzungen gegeben sein:
Sie beziehen Bürgergeld
  Sie wollen sich selbständig machen oder sind bereits selbständig tätig, das bedeutet 
  Sie arbeiten im eigenen Namen und auf eigene Rechnung undSie tragen das wirtschaftliche Risiko ihrer Tätigkeit, das sogenannte Unternehmerrisiko.

  Die Selbständigkeit muss Ihr Hauptberuf sein, das bedeutet 
  Sie arbeiten mindestens 15 Stunden pro Woche selbständig undSie können innerhalb eines angemessenen Zeitraums Ihren Lebensunterhalt ganz oder zu einem erheblichen Teil mit Ihren erzielten Einnahmen bestreiten.

  Sie müssen persönlich geeignet sein, eine selbständige Tätigkeit erfolgreich auszuüben. Dafür müssen Sie nachweisen, dass Sie über die Kenntnisse und Fähigkeiten verfügen, die Sie für die Selbständigkeit benötigen, zum Beispiel durch 
  Nachweise Ihrer fachlichen und unternehmerischen Qualifikation,Berufserfahrung oderdie Teilnahme an Maßnahmen, die Sie auf die Existenzgründung vorbereiten.

  Ihre selbständige Tätigkeit muss wirtschaftlich tragfähig sein, das bedeutet 
  
    Ihr Geschäftsmodell muss so ausgearbeitet und durchdacht sein, dass Ihre Existenzgründung langfristig erfolgreich sein kann 
    Die Tragfähigkeit Ihrer selbständigen Tätigkeit ist durch eine fachkundige Stellungnahme zu belegen. Fachkundige Stellen können Kammern, Fachverbände oder Gründerinitiativen sein. Ihr Jobcenter benennt Ihnen die für Sie zuständige fachkundige Stelle in Ihrer Region. Üblicherweise müssen Sie dort detaillierte Unterlagen vorlegen.

Die Sachgüter, die Sie anschaffen möchten, müssen angemessen und notwendig für Ihre Arbeit sein.Andere Finanzierungsquellen scheiden aus, zum Beispiel spezielle Bundes- und Landesprogramme, lokale Wirtschaftsförderung oder Mikrokredite.Die Förderung muss dem EU-Beihilferecht, der De-minimis-Regelung, entsprechen."
Kinderbetreuung; Beantragung einer Entschädigung im Rahmen des Infektionsschutzgesetzes,L100042.LB.62637,['090000000000'],"Feststellung einer epidemischen Lage von nationaler Tragweite durch den Deutschen Bundestag (im Falle der Corona-Pandemie vom 28.03.2020 bis 25.11.2021; bis zum Ablauf des 23.09.2022 unabhängig von einer festgestellten epidemischen Lage von nationaler Tragweite). In diesem Zeitraum wird die Entschädigung für längstens zehn Wochen, bei Alleinerziehenden für 20 Wochen pro Jahr gewährt. Der erste Jahreszeitraum endete damit mit Ablauf des 27.3.2021, der folgende Jahreszeitraum (mit der erneuten Möglichkeit, 10 bzw. 20 Wochen Verdienstausfallentschädigung nach § 56 Abs. 1a IfSG in Anspruch zu nehmen) hat am 28.3.2021 begonnen.Die Schule oder Einrichtung zur Betreuung von Kindern oder eine Einrichtung für behinderte Menschen, die das Kind der Arbeitnehmerin/des Arbeitnehmers oder der/des selbstständig Tätigen besucht, wird zur Verhinderung der Verbreitung einer Infektions- oder einer übertragbaren Krankheit vorübergehend geschlossen oder deren Betreten, auch aufgrund einer Absonderung, wird untersagt oder von der zuständigen Behörde werden aus Gründen des Infektionsschutzes Schul- oder Betriebsferien angeordnet oder verlängert, die Präsenzpflicht in einer Schule aufgehoben oder der Zugang zum Kinderbetreuungsangebot eingeschränkt oder es liegt eine behördliche Empfehlung vor, vom Besuch einer Einrichtung zur Betreuung von Kindern, einer Schule oder einer Einrichtung für Menschen mit Behinderungen abzusehen, unddas Kind darf das zwölfte Lebensjahr noch nicht vollendet haben (d.h., dass das Kind höchstens 11 Jahre alt ist) oder das Kind ist behindert und auf Hilfe angewiesen unddas Kind muss in der Zeit der Schließung von der Arbeitnehmerin/dem Arbeitnehmer bzw. der/dem selbstständig Tätigen selbst zu Hause betreut werden, weileine anderweitige zumutbare Betreuung nicht sichergestellt werden kann, unddie erwerbstätige Person muss dadurch einen Verdienstausfall erleiden.
Ausführliche Informationen zur Entschädigung bzw. Erstattung nach § 56 Abs. 1a IfSG erhalten Sie unter ""Weiterführende Links""."
