Name,Description,ID-LB,ARS,Eligibility Requirements,Legal Basis
Eingliederungszuschuss bei der Agentur für Arbeit beantragen,"Wenn Sie in Ihrem Unternehmen Menschen einstellen, die zu Beginn der Beschäftigung noch nicht die volle Arbeitsleistung erbringen, können Sie Zuschüsse zu den Lohnkosten beantragen.",B100019.LB.102730319,000000000000,"Sie wollen eine schwer in den Arbeitsmarkt zu vermittelnde Person beschäftigen. Bei der Arbeitnehmerin oder dem Arbeitnehmer ist anfänglich eine geringere Leistung als üblich zu erwarten. Der finanzielle Ausgleich durch den Eingliederungszuschuss ist notwendig, um die Arbeitnehmerin oder den Arbeitnehmer dauerhaft beruflich einzugliedern.",§§ 88 bis 92 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__88.html
Kinderzuschlag beantragen,"Der Kinderzuschlag ist eine Leistung für Familien mit kleinem Einkommen. Durch den Kinderzuschlag wird Ihre Familie unterstützt, wenn Sie über ein kleines Einkommen verfügen und davon den Bedarf der gesamten Familie nicht oder nur knapp decken können.",L100022.LB.780,080000000000,"Um einen Kinderzuschlag zu bekommen, müssen folgende Voraussetzungen erfüllt sein:

Ihr Kind/Ihre Kinder ist/sind jünger als 25 Jahre, nicht verheiratet oder verpartnert und lebt/leben in Ihrem Haushalt.
Sie beziehen für Ihr Kind/Ihre Kinder Kindergeld oder eine vergleichbare Leistung zum Beispiel aus dem Ausland.
Sie verfügen 
  
als Paar gemeinsam über ein Bruttoeinkommen von mindestens EUR 900,00 im Monat (ohne Wohngeld, Kindergeld und Kinderzuschlag) oder
als alleinerziehende Person über mindestens EUR 600,00 im Monat.

Ihr Einkommen, das auf den Kinderzuschlag angerechnet wird, ist nicht so hoch, dass sich der Kinderzuschlag auf null reduziert.
Sie verfügen über kein erhebliches Vermögen.
Den Kinderzuschlag können Sie in der Regel erhalten, wenn Sie mit Ihrem Einkommen, dem Kindergeld, dem eventuell zustehendem Wohngeld und dem Kinderzuschlag den Bedarf der ganzen Familie im Sinne des SGB II decken können.
Kinderzuschlag ist nachrangig gegenüber anderen möglichen Einkünften des Kindes; gegebenenfalls besteht die Verpflichtung, sich um vorrangige Ansprüche wie Unterhalt oder Unterhaltsvorschuss zu bemühen.","§ 6a Bundeskindergeldgesetz (BKGG) (Kinderzuschlag)<>https://www.gesetze-im-internet.de/bkgg_1996/__6a.html#:~:text=Der%20Kinderzuschlag%20wird%20um%2045,des%20Kindes%20geltend%20zu%20machen."
Pass für Geringverdiener Erteilung,"Der Bielefeld-Pass gilt als Ausweis für die Inanspruchnahme verschiedener Vergünstigungen im Stadtgebiet, die die Stadt Bielefeld bedürftigen Personen gewährt, u. a. für das ""BI-Pass-Ticket"" für Bus & Bahn - ein ermäßigtes Monats-Ticket für den öffentlichen Personennahverkehr, sowie u. a. ermäßigter Eintritt in verschiedene Museen und bei karitativen Einrichtungen.",L100002.LB.6bad2c2697d578f205e82adc45c3bfb2,050000000000,"Der Bielefeld-Pass kann nur für in Bielefeld gemeldete Personen ausgestellt werden. Er gilt zusammen mit einem Personalausweis. Der Bielefeld-Pass wird auf Antrag von der Stelle ausgestellt, die die Sozialleistung zahlt (Ausnahme bei Wohngeldbezug: Empfänger von Wohngeld erhalten den Bielefeld-Pass bei den Sachbearbeiterinnen bzw. Sachbearbeitern der Grundsicherung).    Einen Bielefeld-Pass erhalten: Empfängerinnen und Empfänger von Grundsicherung im Alter und bei dauerhafter Erwerbsunfähigkeit nach dem SGB XII Empfängerinnen und Empfänger von Hilfe zum Lebensunterhalt nach SGB XII außerhalb von Einrichtungen  Empfängerinnen und Empfänger von Leistungen nach dem Asylbewerberleistungsgesetz  Empfängerinnen und Empfänger von Bürgergeld nach dem SGB II (Jobcenter Arbeitplus) Sozialhilfeberechtigte Bewohnerinnen und Bewohner Bielefelder Alten- und Pflegeheime Empfängerinnen und Empfänger von Wohngeld nach dem WoGGEinen Bielefeld-Pass erhalten nicht: Empfänger von Wirtschaftlicher Jugendhilfe. Diese Leistung ist höher angelegt, um den speziellen Bedürfnissen von Jugendlichen gerecht zu werden. Für die Teilnahme am gesellschaftlichen (Kultur-)Leben bleibt mehr finanzieller Spielraum als im übrigen Sozialhilfebereich. Personen, die ausschließlich Arbeitslosengeld I erhalten (Agentur für Arbeit) Personen, die BAföG erhalten Personen, die keine Leistungen erhalten",nicht angegeben
Unterkunft - Kostenübernahmeerklärung für statusgewandelte Selbstzahler/innen,"Zur Vermeidung von Obdachlosigkeit werden Geflüchtete nach Abschluss des Asylverfahrens (statusgewandelte Personen) weiterhin in den vertragsgebundenen Einrichtungen des Landesamt für Flüchtlingsangelegenheiten (LAF) untergebracht.

Wenn Sie eine Arbeit finden, Geld verdienen und keinem Leistungsbezug mehr im Jobcenter oder im Sozialamt erhalten, müssen Sie sich an den Kosten der Unterkunft beteiligen. Sie sind dann Selbstzahler/in und erhalten vom LAF eine Kostenübernahmeerklärung für Ihre Unterkunft, in der Ihr Eigenanteil ausgewiesen wird.

Verfahrensablauf
1. Als statusgewandelte Person haben Sie einen Bescheid vom zuständigen Leistungsträger (Jobcenter oder Bezirksamt) erhalten, in dem Ihnen die Leistungen zur Sicherung des Lebensunterhaltes aufgrund von Einkommen versagt werden.
2. Vereinbaren Sie einen Termin im Landesamt für Flüchtlingsangelegenheiten (LAF).
3. Bringen Sie alle erforderlichen Unterlagen zum Termin mit.
Wenn es sich bei Ihnen um einen laufenden Fall handelt und Sie bereits beim LAF vorgesprochen oder Ihre Unterlagen zugesandt haben, dann müssen Sie weniger zusätzliche Unterlagen zum Termin mitbringen.4. Das LAF prüft Ihre Unterlagen und wie sich Ihr (künftiges) Einkommen auf Ihre Leistungen auswirkt.
5. Sie erhalten eine Kostenübernahmeerklärung vom LAF, in der Ihr Eigenanteil ausgewiesen wird. Sie erhalten monatlich eine Rechnung vom LAF über den zu zahlenden Eigenanteil.",L100108.LB.L100108.350276,110000000000,"Leistungsberechtigte Personen nach dem SGB II und SGB XII (Statusgewandelte), welche aufgrund ihres Einkommen keinen Leistungsanspruch mehr haben und in den vertragsgebundenen Einrichtungen des LAF untergebracht sind.Als statusgewandelte Person haben Sie einen Bescheid vom zuständigen Leistungsträger (Jobcenter oder Bezirksamt) erhalten, in dem Ihnen die Leistungen zur Sicherung des Lebensunterhaltes aufgrund von Einkommen versagt werden.Terminvereinbarung",Allgemeines Sicherheits- und Ordnungsgesetz (ASOG Bln) § 31<>https://gesetze.berlin.de/perma?j=ASOG_BE_Nummer_31 || AV Zuständigkeit Soziales (AV ZustSoz)<>https://www.berlin.de/sen/soziales/service/berliner-sozialrecht/kategorie/ausfuehrungsvorschriften/av_zustsoz-571936.php || Wohnkosten für arbeitende Geflüchtete in den Unterkünften des LAF<>https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiyt5LqtrP-AhWJtKQKHfpaCsUQFnoECA8QAQ&url=https%3A%2F%2Fwww.berlin.de%2Fkoordfm%2Fthemen%2Fwohnen%2Fbroschuere_rechte_pflichten_als_bewohner_in_einer_laf_unterkunft_barrierefrei.pdf&usg=AOvVaw0mEz3eboq6SfrOUlzNtWPE
Entschädigung nach dem Infektionsschutzgesetz wegen Kinderbetreuung beantragen,"Ihr Kind ist von einer Schul- oder KiTa-Schließung betroffen und Sie können deshalb nicht mehr arbeiten? Erfahren Sie hier, wie Ihnen der Verdienstausfall erstattet wird.",L100040.LB.492915261,030000000000,"Eltern haben Anspruch auf Entschädigung ihres Verdienstausfalls wegen Kinderbetreuung, wenn:

Sie Ihr Kind/ Ihre Kinder aufgrund der Schließung einer Betreuungseinrichtung oder Schule durch Behörden selbst betreuen 
und Ihr Kind jünger als 12 Jahre alt ist oder eine Behinderung hat und auf Hilfe angewiesen ist,
und Sie einen Verdienstausfall haben,
und Sie für dieses Kind sorgeberechtigt sind,
und Sie keine anderweitige zumutbare Betreuungsmöglichkeit haben;
der Bundestag die Epidemische Lage von nationaler Tragweite beschlossen hat
Es stehen keine zusätzlichen Kinderkrankentage nach dem SGB V zur Verfügung.",§ 56 Absatz 1a Gesetz zur Verhütung und Bekämpfung von Infektionskrankheiten beim Menschen (Infektionsschutzgesetz - IfSG) - Entschädigung<>https://www.gesetze-im-internet.de/ifsg/__56.html || Rahmeninformationen und Lohntabellen können über die FAQs des Bundesministeriums für Gesundheit gefunden werden.<>https://www.bundesgesundheitsministerium.de/service/begriffe-von-a-z/e/entschaedigungsansprueche-nach-56-ifsg.html
Grundsicherung im Alter und bei Erwerbsminderung,"Die Grundsicherung im Alter und bei Erwerbsminderung umfasst:
RegelbedarfKosten für Unterkunft und HeizungMehrbedarfe, beispielsweise:•	für Schwerbehinderung mit Merkzeichen G oder aG,
•	für werdende Mütter nach der 12. Schwangerschaftswoche,
•	für Alleinerziehende mit einem oder mehreren minderjährigen Kindern,
•	für kostenaufwendige Ernährung,
•	für eine dezentrale Warmwasserversorgung.

Beiträge für Kranken- und Pflegeversicherung und für VorsorgeEinmalige Bedarfe, beispielsweise•	Erstausstattung einer Wohnung
•	Erstausstattung für Bekleidung
•	Erstausstattung bei Schwangerschaft und Geburt
•	Anschaffung und Reparatur von orthopädischen Schuhen,
•	Reparaturen und Miete von therapeutischen Geräten und Ausrüstungen.",L100108.LB.L100108.324394,110000000000,"Rentenalter oder dauerhafte ErwerbsminderungEs wird eine der nachfolgenden Voraussetzungen erfüllt:
Erreichen des Rentenalters (Das Rentenalter beginnt zwischen 65 und 67 Jahren, je nach Geburtsjahrgang) oderunbefristete volle Erwerbsminderung (Feststellung durch Rententräger) und Volljährigkeit (mindestens 18 Jahre alt)Niedriges Einkommen, niedriges VermögenEinkommen und Vermögen reichen nicht aus, um den Lebensunterhalt zu bestreiten.Wohnsitz in Berlineinwohneramtliche Meldung oderbei Wohnungslosigkeit gewöhnlicher Aufenthalt in Berlin",Sozialgesetzbuch - Zwölftes Buch - (SGB XII)<>https://www.gesetze-im-internet.de/sgb_12/ || Ausführungsvorschriften über den Einsatz von Vermögen nach dem SGB XII (AV-VSH)<>https://www.berlin.de/sen/soziales/service/berliner-sozialrecht/kategorie/ausfuehrungsvorschriften/av_vsh-571931.php#!
"Bildungspaket - Informationen für Leistungsanbieter für die Bereiche Kultur, Musik und Sport, Abrechnung","Soziokulturelle Bildungspaketleistungen für teilnehmende Kinder können auch direkt an Sie als Leistungsanbieter gezahlt werden. Es werden pro Kind und Monat maximal 15 Euro gewährt.                                        
Gefördert werden

Mitgliedsbeiträge in den Bereichen Sport, Spiel, Kultur und Geselligkeit (zum Beispiel Mitgliedschaft in Sportvereinen).
Unterricht in künstlerischen Fächern und vergleichbare angeleitete Aktivitäten der kulturellen Bildung (zum Beispiel Musikunterricht).                              
Der Erwerb beziehungsweise die Ausleihe von Ausrüstungsgegenständen (zum Beispiel Leihgebühr für ein Musikinstrument und Fußballschuhe), die in unmittelbarem Zusammenhang zu der Aktivität stehen, an der das Kind teilnimmt und die nicht zum Alltagsbedarf gehören.
Teilnahme an Freizeiten (hierfür können die Monatsbeiträge für bis zu zwölf Monate innerhalb eines Bewilligungszeitraums angespart werden).",S100002.LB.S1000020010000011736,020000000000,"Über das Hamburger Bildungspaket können Kinder und Jugendliche bis zum 18. Geburtstag, die Leistungen nach dem Sozialgesetzbuch (SGB) II, SGB XII oder dem Asylbewerberleistungsgesetz erhalten bzw. Wohngeld- oder kinderzuschlagsberechtigt sind, Leistungen für Bildung und Teilhabe erhalten.
Der Nachweis der Leistungsberechtigung (Bewilligungs- oder Kurzbescheid) ist vorzuzeigen (siehe Link 'Muster von Leistungsbescheinigungen').",§ 28 Abs.7 SGB II
Übernahme der Miet-/Energieschulden,"Bei drohendem Wohnungsverlust sollten Sie sich direkt an die Fachstelle für Wohnungsnotfälle in Ihrem Bezirk wenden. Diese kann bei Bedarf Mietschulden als Darlehen oder Beihilfe übernehmen. Auch übernehmen Sie die Verhandlungen, um einen drohenden Wohnungsverlust zu verhindern.",S100002.LB.S1000020010000012166,020000000000,"Antragserfordernis: Leistungen werden gewährt, wenn sie von einer anspruchsberechtigten Person beantragt werden (§ 37 SGB II).
Leistungsberechtigung: Leistungsberechtigt sind erwerbsfähige Personen, sofern Arbeitslosengeld II für den Bedarf für Unterkunft und Heizung erbracht wird
Schulden: Ansprüche aus rückständigen Forderungen (z.B. des Vermieters oder eines Energieversorgungsunternehmens wegen nicht bezahlter Rechnungen), die zu begleichen sind (dies ist z.B. nicht der Fall, wenn Ansprüche verjährt sind) und die einen solchen Umfang angenommen haben, dass sie durch das zur Verfügung stehende Einkommen nachweislich nicht oder nur unvollständig an den Vermieter oder das Energieversorgungsunternehmen gezahlt werden können.
Gerechtfertigte Leistung: wenn die leistungsberechtigte Person über keine oder nicht ausreichende Selbsthilfemöglichkeiten verfügt und durch eine Schuldenübernahme die aktuell genutzte Unterkunft tatsächlich erhalten und langfristig gesichert werden kann bzw. mit einem Wohnungsverlust vergleichbare Notlage behoben werden kann
Notwendige Leistung: Die Übernahme von Schulden ist notwendig, wenn die Notlage anders nicht abgewendet werden kann. Die Übernahme der Schulden ist im Regelfall nicht notwendig, wenn die Wohnungslosigkeit nicht vermieden werden kann.",https://www.gesetze-im-internet.de/sgb_2/__22.html<>https://www.gesetze-im-internet.de/sgb_2/__22.html
Bildungs- und Teilhabepaket / Bremerhaven,"Möchte Ihr Kind im Verein Sport treiben oder an einer Ferienfreizeit teilnehmen? Benötigt Ihr Kind Lernförderung oder finanzielle Hilfe zur Finanzierung der bevorstehenden Klassenfahrt?
Sofern Sie persönlich nicht in der Lage sind, Ihrem Kind diese Dinge zu ermöglichen, haben Sie die Möglichkeit, dafür Leistungen aus dem Bildungs- und Teilhabepaket zu beantragen.",S100003.LB.S1000030000578345,040120000000,"Bezug von Leistungen nach:

Sozialgesetzbuch Zweites Buch (Arbeitslosengeld II)
Sozialgesetzbuch Zwölftes Buch (Sozialhilfe/Grundsicherung im Alter und bei Erwerbsminderung)
Asylbewerberleistungsgesetz
Wohngeldgesetz (Mietzuschuss/Lastenzuschuss)
Bundeskindergeldgesetz (Kinderzuschlag)",Sozialgesetzbuch Zweites Buch (SGB II)<>http%3A%2F%2Fwww.gesetze-im-internet.de%2Fsgb_2%2F || Sozialgesetzbuch Zwölftes Buch - SGB XII<>http%3A%2F%2Fwww.gesetze-im-internet.de%2Fsgb_12%2F || Asylbewerberleistungsgesetz (AsylbLG)<>http%3A%2F%2Fwww.gesetze-im-internet.de%2Fasylblg%2F || Wohngeldgesetz (WoGG)<>https%3A%2F%2Fwww.gesetze-im-internet.de%2Fwogg%2Findex.html || Bundeskindergeldgesetz<>http%3A%2F%2Fwww.gesetze-im-internet.de%2Fbkgg_1996%2Findex.html
Eingliederung von Selbständigen; Beantragung von Leistungen,"Wenn Sie Bürgergeld bekommen und sich selbständig machen möchten oder bereits selbständig sind, kann Ihr Jobcenter Sie bei notwendigen Anschaffungen von Sachgütern und durch kostenfreie Beratungen und Schulungen unterstützen.",L100042.LB.27493,090000000000,"Um die Leistungen bekommen zu können, müssen folgende Voraussetzungen gegeben sein:
Sie beziehen Bürgergeld
  Sie wollen sich selbständig machen oder sind bereits selbständig tätig, das bedeutet 
  Sie arbeiten im eigenen Namen und auf eigene Rechnung undSie tragen das wirtschaftliche Risiko ihrer Tätigkeit, das sogenannte Unternehmerrisiko.

  Die Selbständigkeit muss Ihr Hauptberuf sein, das bedeutet 
  Sie arbeiten mindestens 15 Stunden pro Woche selbständig undSie können innerhalb eines angemessenen Zeitraums Ihren Lebensunterhalt ganz oder zu einem erheblichen Teil mit Ihren erzielten Einnahmen bestreiten.

  Sie müssen persönlich geeignet sein, eine selbständige Tätigkeit erfolgreich auszuüben. Dafür müssen Sie nachweisen, dass Sie über die Kenntnisse und Fähigkeiten verfügen, die Sie für die Selbständigkeit benötigen, zum Beispiel durch 
  Nachweise Ihrer fachlichen und unternehmerischen Qualifikation,Berufserfahrung oderdie Teilnahme an Maßnahmen, die Sie auf die Existenzgründung vorbereiten.

  Ihre selbständige Tätigkeit muss wirtschaftlich tragfähig sein, das bedeutet 
  
    Ihr Geschäftsmodell muss so ausgearbeitet und durchdacht sein, dass Ihre Existenzgründung langfristig erfolgreich sein kann 
    Die Tragfähigkeit Ihrer selbständigen Tätigkeit ist durch eine fachkundige Stellungnahme zu belegen. Fachkundige Stellen können Kammern, Fachverbände oder Gründerinitiativen sein. Ihr Jobcenter benennt Ihnen die für Sie zuständige fachkundige Stelle in Ihrer Region. Üblicherweise müssen Sie dort detaillierte Unterlagen vorlegen.

Die Sachgüter, die Sie anschaffen möchten, müssen angemessen und notwendig für Ihre Arbeit sein.Andere Finanzierungsquellen scheiden aus, zum Beispiel spezielle Bundes- und Landesprogramme, lokale Wirtschaftsförderung oder Mikrokredite.Die Förderung muss dem EU-Beihilferecht, der De-minimis-Regelung, entsprechen.",§ 16c Sozialgesetzbuch Zweites Buch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__16c.html
